altura,latitud,longitud
9433,-74.582858202,36.1269330859
9432,-74.5870154949,36.1200066697
9431,-74.5911717202,36.1130809102
9430,-74.5953268782,36.1061558072
9429,-74.599480969,36.0992313608
9428,-74.6036339929,36.0923075709
9427,-74.6077859501,36.0853844377
9426,-74.6119368408,36.078461961
9425,-74.6160866653,36.0715401408
9424,-74.6202354238,36.0646189772
9423,-74.6243831165,36.0576984701
9422,-74.6285297437,36.0507786196
9421,-74.6326753055,36.0438594256
9420,-74.6368198023,36.0369408882
9419,-74.6409632341,36.0300230072
9418,-74.6451056013,36.0231057828
9417,-74.6492469041,36.0161892149
9416,-74.6533871427,36.0092733035
9415,-74.6575263173,36.0023580486
9414,-74.6616644282,35.9954434501
9413,-74.6658014755,35.9885295082
9412,-74.6699374595,35.9816162227
9411,-74.6740723805,35.9747035937
9410,-74.6782062387,35.9677916212
9409,-74.6823390342,35.9608803051
9408,-74.6864707673,35.9539696455
9407,-74.6906014383,35.9470596423
9406,-74.6947310473,35.9401502956
9405,-74.6988595946,35.9332416053
9404,-74.7029870804,35.9263335714
9403,-74.707113505,35.919426194
9402,-74.7112388685,35.912519473
9401,-74.7153631712,35.9056134084
9400,-74.7194864133,35.8987080002
9399,-74.7236085951,35.8918032484
9398,-74.7277297167,35.884899153
9397,-74.7318497784,35.877995714
9396,-74.7359687804,35.8710929313
9395,-74.740086723,35.8641908051
9394,-74.7442036064,35.8572893352
9393,-74.7483194307,35.8503885216
9392,-74.7524341963,35.8434883645
9391,-74.7565479033,35.8365888636
9390,-74.7606605519,35.8296900192
9389,-74.7647721425,35.822791831
9388,-74.7688826752,35.8158942992
9387,-74.7729921502,35.8089974238
9386,-74.7771005678,35.8021012046
9385,-74.7812079282,35.7952056418
9384,-74.7853142316,35.7883107353
9383,-74.7894194783,35.7814164851
9382,-74.7935236684,35.7745228911
9381,-74.7976268023,35.7676299535
9380,-74.80172888,35.7607376722
9379,-74.8058299019,35.7538460471
9378,-74.8099298682,35.7469550783
9377,-74.8140287791,35.7400647658
9376,-74.8181266348,35.7331751096
9375,-74.8222234355,35.7262861096
9374,-74.8263191815,35.7193977658
9373,-74.8304138731,35.7125100783
9372,-74.8345075103,35.705623047
9371,-74.8386000935,35.698736672
9370,-74.8426916228,35.6918509532
9369,-74.8467820986,35.6849658906
9368,-74.850871521,35.6780814842
9367,-74.8549598902,35.671197734
9366,-74.8590472065,35.6643146401
9365,-74.8631334701,35.6574322023
9364,-74.8672186812,35.6505504207
9363,-74.87130284,35.6436692953
9362,-74.8753859469,35.6367888261
9361,-74.8794680019,35.6299090131
9360,-74.8835490053,35.6230298562
9359,-74.8876289574,35.6161513555
9358,-74.8917078584,35.6092735109
9357,-74.8957857084,35.6023963225
9356,-74.8998625078,35.5955197902
9355,-74.9039382567,35.588643914
9354,-74.9080129554,35.581768694
9353,-74.9120866041,35.5748941302
9352,-74.916159203,35.5680202224
9351,-74.9202307523,35.5611469707
9350,-74.9243012523,35.5542743752
9349,-74.9283707032,35.5474024357
9348,-74.9324391052,35.5405311524
9347,-74.9365064585,35.5336605251
9346,-74.9405727634,35.5267905539
9345,-74.9446380201,35.5199212388
9344,-74.9487022288,35.5130525798
9343,-74.9527653898,35.5061845768
9342,-74.9568275032,35.4993172299
9341,-74.9608885693,35.492450539
9340,-74.9649485883,35.4855845042
9339,-74.9690075604,35.4787191254
9338,-74.9730654859,35.4718544026
9337,-74.9771223649,35.4649903359
9336,-74.9811781978,35.4581269252
9335,-74.9852329847,35.4512641705
9334,-74.9892867258,35.4444020719
9333,-74.9933394215,35.4375406292
9332,-74.9973910718,35.4306798425
9331,-75.0014416771,35.4238197119
9330,-75.0054912375,35.4169602372
9329,-75.0095397532,35.4101014185
9328,-75.0135872246,35.4032432557
9327,-75.0176336518,35.396385749
9326,-75.0216790351,35.3895288981
9325,-75.0257233746,35.3826727033
9324,-75.0297666706,35.3758171644
9323,-75.0338089233,35.3689622814
9322,-75.037850133,35.3621080544
9321,-75.0418902998,35.3552544833
9320,-75.045929424,35.3484015682
9319,-75.0499675058,35.3415493089
9318,-75.0540045455,35.3346977056
